Iteracija,Korak,Vloga (kdo),Trajanje (h),Cakanje (h),Tip aktivnosti (VA/NVA),Napake (st)
8,Ponoven tisk (če napaka),Raziskovalec,0.0,0.0,NVA,0
8,Označevanje in vpis v dokumentacijo,Raziskovalec,0.08,0.0,NVA,0
9,Priprava 3D modela implantata,Raziskovalec,1.0,0.0,VA,0
9,Pošiljanje modela v pregled,Raziskovalec,0.03,0.0,NVA,0
9,Čakanje na odobritev,Vodja laboratorija,0.0,3.0,NVA,0
9,Priprava tiskalnika in materiala,Raziskovalec,0.25,0.0,VA,0
9,Čakanje na prost tiskalnik,Raziskovalec,0.0,1.0,NVA,0
9,3D tisk,Raziskovalec / tiskalnik,2.0,0.0,VA,0
9,Hlajenje modela,—,0.0,0.5,NNVA,0
9,Odstranjevanje podpornih struktur,Raziskovalec,0.33,0.0,VA,0
9,Kontrola kakovosti,Kontrolor kakovosti,0.25,0.17,NNVA,1
9,Ponoven tisk (če napaka),Raziskovalec,2.0,0.0,NVA,1
9,Označevanje in vpis v dokumentacijo,Raziskovalec,0.08,0.0,NVA,0
10,Priprava 3D modela implantata,Raziskovalec,1.0,0.0,VA,0
10,Pošiljanje modela v pregled,Raziskovalec,0.03,0.0,NVA,0
10,Čakanje na odobritev,Vodja laboratorija,0.0,3.0,NVA,0
10,Priprava tiskalnika in materiala,Raziskovalec,0.25,0.0,VA,0
10,Čakanje na prost tiskalnik,Raziskovalec,0.0,1.0,NVA,0
10,3D tisk,Raziskovalec / tiskalnik,2.0,0.0,VA,0
10,Hlajenje modela,—,0.0,0.5,NNVA,0
10,Odstranjevanje podpornih struktur,Raziskovalec,0.33,0.0,VA,0
10,Kontrola kakovosti,Kontrolor kakovosti,0.25,0.17,NNVA,0
10,Ponoven tisk (če napaka),Raziskovalec,0.0,0.0,NVA,0
10,Označevanje in vpis v dokumentacijo,Raziskovalec,0.08,0.0,NVA,0
